ts,sIP,dIP,udp_sPort,udp_dPort,ip_proto,ip_len,chunk_index
1651792635.387948,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387948,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387973,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.387973,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.38799,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.389989,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390012,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390012,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390032,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390033,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390117,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390118,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390118,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390118,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390118,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390153,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.390153,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392111,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392113,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392193,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392193,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392193,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
1651792635.392193,198.189.66.16,192.168.1.138,443.0,50222.0,17.0,1385.0,11
